id,contract,venue,desk,trader,bid,ask,spread,filled,status,trendSeed,updatedAt
77080,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,86.30,86.55,0.25,75,At risk,15,5s ago
77081,Copper Sep 26,Chicago,D-1563,Theo Ivanov,88.00,88.05,0.05,88,Open,16,1s ago
77082,Nickel Nov 26,Singapore,D-2874,Luca Perez,89.70,89.80,0.10,8,Filled,17,2s ago
77083,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,91.40,91.55,0.15,18,Monitoring,18,3s ago
77084,Lithium Mar 26,Sao Paulo,D-628,Noah Park,61.10,61.30,0.20,31,At risk,19,4s ago
77085,Cocoa May 26,Chicago,D-844,Iris Chen,62.80,63.05,0.25,44,Open,20,5s ago
77086,Cotton Jul 26,Singapore,D-1071,Sofia Bell,64.50,64.55,0.05,57,Filled,21,1s ago
77087,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,66.20,66.30,0.10,70,Monitoring,22,2s ago
77088,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,67.90,68.05,0.15,83,At risk,23,3s ago
77089,Copper Jan 26,Chicago,D-251,Maya Chen,69.60,69.80,0.20,8,Open,24,4s ago
77090,Nickel Mar 26,Singapore,D-628,Noah Park,71.30,71.55,0.25,13,Filled,25,5s ago
77091,Aluminum May 26,Frankfurt,D-844,Iris Chen,73.00,73.05,0.05,26,Monitoring,26,1s ago
77092,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,74.70,74.80,0.10,39,At risk,27,2s ago
77093,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,76.40,76.55,0.15,52,Open,28,3s ago
77094,Cotton Nov 26,Singapore,D-2874,Luca Perez,78.10,78.30,0.20,65,Filled,29,4s ago
77095,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,79.80,80.05,0.25,78,Monitoring,12,5s ago
77096,Wheat Mar 26,Sao Paulo,D-628,Noah Park,81.50,81.55,0.05,91,At risk,13,1s ago
77097,Copper May 26,Chicago,D-844,Iris Chen,83.20,83.30,0.10,8,Open,14,2s ago
77098,Nickel Jul 26,Singapore,D-1071,Sofia Bell,84.90,85.05,0.15,21,Filled,15,3s ago
77099,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,86.60,86.80,0.20,34,Monitoring,16,4s ago
77100,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,88.30,88.55,0.25,47,At risk,17,5s ago
77101,Cocoa Jan 26,Chicago,D-251,Maya Chen,90.00,90.05,0.05,60,Open,18,1s ago
77102,Cotton Mar 26,Singapore,D-628,Noah Park,91.70,91.80,0.10,73,Filled,19,2s ago
77103,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,61.40,61.55,0.15,86,Monitoring,20,3s ago
77104,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,63.10,63.30,0.20,8,At risk,21,4s ago
77105,Copper Sep 26,Chicago,D-1563,Theo Ivanov,64.80,65.05,0.25,16,Open,22,5s ago
77106,Nickel Nov 26,Singapore,D-2874,Luca Perez,66.50,66.55,0.05,29,Filled,23,1s ago
77107,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,68.20,68.30,0.10,42,Monitoring,24,2s ago
77108,Lithium Mar 26,Sao Paulo,D-628,Noah Park,69.90,70.05,0.15,55,At risk,25,3s ago
77109,Cocoa May 26,Chicago,D-844,Iris Chen,71.60,71.80,0.20,68,Open,26,4s ago
77110,Cotton Jul 26,Singapore,D-1071,Sofia Bell,73.30,73.55,0.25,81,Filled,27,5s ago
77111,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,75.00,75.05,0.05,94,Monitoring,28,1s ago
77112,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,76.70,76.80,0.10,11,At risk,29,2s ago
77113,Copper Jan 26,Chicago,D-251,Maya Chen,78.40,78.55,0.15,24,Open,12,3s ago
77114,Nickel Mar 26,Singapore,D-628,Noah Park,80.10,80.30,0.20,37,Filled,13,4s ago
77115,Aluminum May 26,Frankfurt,D-844,Iris Chen,81.80,82.05,0.25,50,Monitoring,14,5s ago
77116,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,83.50,83.55,0.05,63,At risk,15,1s ago
77117,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,85.20,85.30,0.10,76,Open,16,2s ago
77118,Cotton Nov 26,Singapore,D-2874,Luca Perez,86.90,87.05,0.15,89,Filled,17,3s ago
77119,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,88.60,88.80,0.20,8,Monitoring,18,4s ago
77120,Wheat Mar 26,Sao Paulo,D-628,Noah Park,90.30,90.55,0.25,19,At risk,19,5s ago
77121,Copper May 26,Chicago,D-844,Iris Chen,60.00,60.05,0.05,32,Open,20,1s ago
77122,Nickel Jul 26,Singapore,D-1071,Sofia Bell,61.70,61.80,0.10,45,Filled,21,2s ago
77123,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,63.40,63.55,0.15,58,Monitoring,22,3s ago
77124,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,65.10,65.30,0.20,71,At risk,23,4s ago
77125,Cocoa Jan 26,Chicago,D-251,Maya Chen,66.80,67.05,0.25,84,Open,24,5s ago
77126,Cotton Mar 26,Singapore,D-628,Noah Park,68.50,68.55,0.05,8,Filled,25,1s ago
77127,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,70.20,70.30,0.10,14,Monitoring,26,2s ago
77128,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,71.90,72.05,0.15,27,At risk,27,3s ago
77129,Copper Sep 26,Chicago,D-1563,Theo Ivanov,73.60,73.80,0.20,40,Open,28,4s ago
77130,Nickel Nov 26,Singapore,D-2874,Luca Perez,75.30,75.55,0.25,53,Filled,29,5s ago
77131,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,77.00,77.05,0.05,66,Monitoring,12,1s ago
77132,Lithium Mar 26,Sao Paulo,D-628,Noah Park,78.70,78.80,0.10,79,At risk,13,2s ago
77133,Cocoa May 26,Chicago,D-844,Iris Chen,80.40,80.55,0.15,92,Open,14,3s ago
77134,Cotton Jul 26,Singapore,D-1071,Sofia Bell,82.10,82.30,0.20,9,Filled,15,4s ago
77135,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,83.80,84.05,0.25,22,Monitoring,16,5s ago
77136,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,85.50,85.55,0.05,35,At risk,17,1s ago
77137,Copper Jan 26,Chicago,D-251,Maya Chen,87.20,87.30,0.10,48,Open,18,2s ago
77138,Nickel Mar 26,Singapore,D-628,Noah Park,88.90,89.05,0.15,61,Filled,19,3s ago
77139,Aluminum May 26,Frankfurt,D-844,Iris Chen,90.60,90.80,0.20,74,Monitoring,20,4s ago
77140,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,60.30,60.55,0.25,87,At risk,21,5s ago
77141,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,62.00,62.05,0.05,8,Open,22,1s ago
77142,Cotton Nov 26,Singapore,D-2874,Luca Perez,63.70,63.80,0.10,17,Filled,23,2s ago
77143,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,65.40,65.55,0.15,30,Monitoring,24,3s ago
77144,Wheat Mar 26,Sao Paulo,D-628,Noah Park,67.10,67.30,0.20,43,At risk,25,4s ago
77145,Copper May 26,Chicago,D-844,Iris Chen,68.80,69.05,0.25,56,Open,26,5s ago
77146,Nickel Jul 26,Singapore,D-1071,Sofia Bell,70.50,70.55,0.05,69,Filled,27,1s ago
77147,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,72.20,72.30,0.10,82,Monitoring,28,2s ago
77148,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,73.90,74.05,0.15,95,At risk,29,3s ago
77149,Cocoa Jan 26,Chicago,D-251,Maya Chen,75.60,75.80,0.20,12,Open,12,4s ago
77150,Cotton Mar 26,Singapore,D-628,Noah Park,77.30,77.55,0.25,25,Filled,13,5s ago
77151,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,79.00,79.05,0.05,38,Monitoring,14,1s ago
77152,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,80.70,80.80,0.10,51,At risk,15,2s ago
77153,Copper Sep 26,Chicago,D-1563,Theo Ivanov,82.40,82.55,0.15,64,Open,16,3s ago
77154,Nickel Nov 26,Singapore,D-2874,Luca Perez,84.10,84.30,0.20,77,Filled,17,4s ago
77155,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,85.80,86.05,0.25,90,Monitoring,18,5s ago
77156,Lithium Mar 26,Sao Paulo,D-628,Noah Park,87.50,87.55,0.05,8,At risk,19,1s ago
77157,Cocoa May 26,Chicago,D-844,Iris Chen,89.20,89.30,0.10,20,Open,20,2s ago
77158,Cotton Jul 26,Singapore,D-1071,Sofia Bell,90.90,91.05,0.15,33,Filled,21,3s ago
77159,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,60.60,60.80,0.20,46,Monitoring,22,4s ago
77160,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,62.30,62.55,0.25,59,At risk,23,5s ago
77161,Copper Jan 26,Chicago,D-251,Maya Chen,64.00,64.05,0.05,72,Open,24,1s ago
77162,Nickel Mar 26,Singapore,D-628,Noah Park,65.70,65.80,0.10,85,Filled,25,2s ago
77163,Aluminum May 26,Frankfurt,D-844,Iris Chen,67.40,67.55,0.15,8,Monitoring,26,3s ago
77164,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,69.10,69.30,0.20,15,At risk,27,4s ago
77165,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,70.80,71.05,0.25,28,Open,28,5s ago
77166,Cotton Nov 26,Singapore,D-2874,Luca Perez,72.50,72.55,0.05,41,Filled,29,1s ago
77167,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,74.20,74.30,0.10,54,Monitoring,12,2s ago
77168,Wheat Mar 26,Sao Paulo,D-628,Noah Park,75.90,76.05,0.15,67,At risk,13,3s ago
77169,Copper May 26,Chicago,D-844,Iris Chen,77.60,77.80,0.20,80,Open,14,4s ago
77170,Nickel Jul 26,Singapore,D-1071,Sofia Bell,79.30,79.55,0.25,93,Filled,15,5s ago
77171,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,81.00,81.05,0.05,10,Monitoring,16,1s ago
77172,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,82.70,82.80,0.10,23,At risk,17,2s ago
77173,Cocoa Jan 26,Chicago,D-251,Maya Chen,84.40,84.55,0.15,36,Open,18,3s ago
77174,Cotton Mar 26,Singapore,D-628,Noah Park,86.10,86.30,0.20,49,Filled,19,4s ago
77175,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,87.80,88.05,0.25,62,Monitoring,20,5s ago
77176,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,89.50,89.55,0.05,75,At risk,21,1s ago
77177,Copper Sep 26,Chicago,D-1563,Theo Ivanov,91.20,91.30,0.10,88,Open,22,2s ago
77178,Nickel Nov 26,Singapore,D-2874,Luca Perez,60.90,61.05,0.15,8,Filled,23,3s ago
77179,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,62.60,62.80,0.20,18,Monitoring,24,4s ago
77180,Lithium Mar 26,Sao Paulo,D-628,Noah Park,64.30,64.55,0.25,31,At risk,25,5s ago
77181,Cocoa May 26,Chicago,D-844,Iris Chen,66.00,66.05,0.05,44,Open,26,1s ago
77182,Cotton Jul 26,Singapore,D-1071,Sofia Bell,67.70,67.80,0.10,57,Filled,27,2s ago
77183,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,69.40,69.55,0.15,70,Monitoring,28,3s ago
77184,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,71.10,71.30,0.20,83,At risk,29,4s ago
77185,Copper Jan 26,Chicago,D-251,Maya Chen,72.80,73.05,0.25,8,Open,12,5s ago
77186,Nickel Mar 26,Singapore,D-628,Noah Park,74.50,74.55,0.05,13,Filled,13,1s ago
77187,Aluminum May 26,Frankfurt,D-844,Iris Chen,76.20,76.30,0.10,26,Monitoring,14,2s ago
77188,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,77.90,78.05,0.15,39,At risk,15,3s ago
77189,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,79.60,79.80,0.20,52,Open,16,4s ago
77190,Cotton Nov 26,Singapore,D-2874,Luca Perez,81.30,81.55,0.25,65,Filled,17,5s ago
77191,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,83.00,83.05,0.05,78,Monitoring,18,1s ago
77192,Wheat Mar 26,Sao Paulo,D-628,Noah Park,84.70,84.80,0.10,91,At risk,19,2s ago
77193,Copper May 26,Chicago,D-844,Iris Chen,86.40,86.55,0.15,8,Open,20,3s ago
77194,Nickel Jul 26,Singapore,D-1071,Sofia Bell,88.10,88.30,0.20,21,Filled,21,4s ago
77195,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,89.80,90.05,0.25,34,Monitoring,22,5s ago
77196,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,91.50,91.55,0.05,47,At risk,23,1s ago
77197,Cocoa Jan 26,Chicago,D-251,Maya Chen,61.20,61.30,0.10,60,Open,24,2s ago
77198,Cotton Mar 26,Singapore,D-628,Noah Park,62.90,63.05,0.15,73,Filled,25,3s ago
77199,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,64.60,64.80,0.20,86,Monitoring,26,4s ago
77200,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,66.30,66.55,0.25,8,At risk,27,5s ago
77201,Copper Sep 26,Chicago,D-1563,Theo Ivanov,68.00,68.05,0.05,16,Open,28,1s ago
77202,Nickel Nov 26,Singapore,D-2874,Luca Perez,69.70,69.80,0.10,29,Filled,29,2s ago
77203,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,71.40,71.55,0.15,42,Monitoring,12,3s ago
77204,Lithium Mar 26,Sao Paulo,D-628,Noah Park,73.10,73.30,0.20,55,At risk,13,4s ago
77205,Cocoa May 26,Chicago,D-844,Iris Chen,74.80,75.05,0.25,68,Open,14,5s ago
77206,Cotton Jul 26,Singapore,D-1071,Sofia Bell,76.50,76.55,0.05,81,Filled,15,1s ago
77207,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,78.20,78.30,0.10,94,Monitoring,16,2s ago
77208,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,79.90,80.05,0.15,11,At risk,17,3s ago
77209,Copper Jan 26,Chicago,D-251,Maya Chen,81.60,81.80,0.20,24,Open,18,4s ago
77210,Nickel Mar 26,Singapore,D-628,Noah Park,83.30,83.55,0.25,37,Filled,19,5s ago
77211,Aluminum May 26,Frankfurt,D-844,Iris Chen,85.00,85.05,0.05,50,Monitoring,20,1s ago
77212,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,86.70,86.80,0.10,63,At risk,21,2s ago
77213,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,88.40,88.55,0.15,76,Open,22,3s ago
77214,Cotton Nov 26,Singapore,D-2874,Luca Perez,90.10,90.30,0.20,89,Filled,23,4s ago
77215,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,91.80,92.05,0.25,8,Monitoring,24,5s ago
77216,Wheat Mar 26,Sao Paulo,D-628,Noah Park,61.50,61.55,0.05,19,At risk,25,1s ago
77217,Copper May 26,Chicago,D-844,Iris Chen,63.20,63.30,0.10,32,Open,26,2s ago
77218,Nickel Jul 26,Singapore,D-1071,Sofia Bell,64.90,65.05,0.15,45,Filled,27,3s ago
77219,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,66.60,66.80,0.20,58,Monitoring,28,4s ago
77220,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,68.30,68.55,0.25,71,At risk,29,5s ago
77221,Cocoa Jan 26,Chicago,D-251,Maya Chen,70.00,70.05,0.05,84,Open,12,1s ago
77222,Cotton Mar 26,Singapore,D-628,Noah Park,71.70,71.80,0.10,8,Filled,13,2s ago
77223,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,73.40,73.55,0.15,14,Monitoring,14,3s ago
77224,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,75.10,75.30,0.20,27,At risk,15,4s ago
77225,Copper Sep 26,Chicago,D-1563,Theo Ivanov,76.80,77.05,0.25,40,Open,16,5s ago
77226,Nickel Nov 26,Singapore,D-2874,Luca Perez,78.50,78.55,0.05,53,Filled,17,1s ago
77227,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,80.20,80.30,0.10,66,Monitoring,18,2s ago
77228,Lithium Mar 26,Sao Paulo,D-628,Noah Park,81.90,82.05,0.15,79,At risk,19,3s ago
77229,Cocoa May 26,Chicago,D-844,Iris Chen,83.60,83.80,0.20,92,Open,20,4s ago
77230,Cotton Jul 26,Singapore,D-1071,Sofia Bell,85.30,85.55,0.25,9,Filled,21,5s ago
77231,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,87.00,87.05,0.05,22,Monitoring,22,1s ago
77232,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,88.70,88.80,0.10,35,At risk,23,2s ago
77233,Copper Jan 26,Chicago,D-251,Maya Chen,90.40,90.55,0.15,48,Open,24,3s ago
77234,Nickel Mar 26,Singapore,D-628,Noah Park,60.10,60.30,0.20,61,Filled,25,4s ago
77235,Aluminum May 26,Frankfurt,D-844,Iris Chen,61.80,62.05,0.25,74,Monitoring,26,5s ago
77236,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,63.50,63.55,0.05,87,At risk,27,1s ago
77237,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,65.20,65.30,0.10,8,Open,28,2s ago
77238,Cotton Nov 26,Singapore,D-2874,Luca Perez,66.90,67.05,0.15,17,Filled,29,3s ago
77239,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,68.60,68.80,0.20,30,Monitoring,12,4s ago
77240,Wheat Mar 26,Sao Paulo,D-628,Noah Park,70.30,70.55,0.25,43,At risk,13,5s ago
77241,Copper May 26,Chicago,D-844,Iris Chen,72.00,72.05,0.05,56,Open,14,1s ago
77242,Nickel Jul 26,Singapore,D-1071,Sofia Bell,73.70,73.80,0.10,69,Filled,15,2s ago
77243,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,75.40,75.55,0.15,82,Monitoring,16,3s ago
77244,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,77.10,77.30,0.20,95,At risk,17,4s ago
77245,Cocoa Jan 26,Chicago,D-251,Maya Chen,78.80,79.05,0.25,12,Open,18,5s ago
77246,Cotton Mar 26,Singapore,D-628,Noah Park,80.50,80.55,0.05,25,Filled,19,1s ago
77247,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,82.20,82.30,0.10,38,Monitoring,20,2s ago
77248,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,83.90,84.05,0.15,51,At risk,21,3s ago
77249,Copper Sep 26,Chicago,D-1563,Theo Ivanov,85.60,85.80,0.20,64,Open,22,4s ago
77250,Nickel Nov 26,Singapore,D-2874,Luca Perez,87.30,87.55,0.25,77,Filled,23,5s ago
77251,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,89.00,89.05,0.05,90,Monitoring,24,1s ago
77252,Lithium Mar 26,Sao Paulo,D-628,Noah Park,90.70,90.80,0.10,8,At risk,25,2s ago
77253,Cocoa May 26,Chicago,D-844,Iris Chen,60.40,60.55,0.15,20,Open,26,3s ago
77254,Cotton Jul 26,Singapore,D-1071,Sofia Bell,62.10,62.30,0.20,33,Filled,27,4s ago
77255,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,63.80,64.05,0.25,46,Monitoring,28,5s ago
77256,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,65.50,65.55,0.05,59,At risk,29,1s ago
77257,Copper Jan 26,Chicago,D-251,Maya Chen,67.20,67.30,0.10,72,Open,12,2s ago
77258,Nickel Mar 26,Singapore,D-628,Noah Park,68.90,69.05,0.15,85,Filled,13,3s ago
77259,Aluminum May 26,Frankfurt,D-844,Iris Chen,70.60,70.80,0.20,8,Monitoring,14,4s ago
77260,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,72.30,72.55,0.25,15,At risk,15,5s ago
77261,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,74.00,74.05,0.05,28,Open,16,1s ago
77262,Cotton Nov 26,Singapore,D-2874,Luca Perez,75.70,75.80,0.10,41,Filled,17,2s ago
77263,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,77.40,77.55,0.15,54,Monitoring,18,3s ago
77264,Wheat Mar 26,Sao Paulo,D-628,Noah Park,79.10,79.30,0.20,67,At risk,19,4s ago
77265,Copper May 26,Chicago,D-844,Iris Chen,80.80,81.05,0.25,80,Open,20,5s ago
77266,Nickel Jul 26,Singapore,D-1071,Sofia Bell,82.50,82.55,0.05,93,Filled,21,1s ago
77267,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,84.20,84.30,0.10,10,Monitoring,22,2s ago
77268,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,85.90,86.05,0.15,23,At risk,23,3s ago
77269,Cocoa Jan 26,Chicago,D-251,Maya Chen,87.60,87.80,0.20,36,Open,24,4s ago
77270,Cotton Mar 26,Singapore,D-628,Noah Park,89.30,89.55,0.25,49,Filled,25,5s ago
77271,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,91.00,91.05,0.05,62,Monitoring,26,1s ago
77272,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,60.70,60.80,0.10,75,At risk,27,2s ago
77273,Copper Sep 26,Chicago,D-1563,Theo Ivanov,62.40,62.55,0.15,88,Open,28,3s ago
77274,Nickel Nov 26,Singapore,D-2874,Luca Perez,64.10,64.30,0.20,8,Filled,29,4s ago
77275,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,65.80,66.05,0.25,18,Monitoring,12,5s ago
77276,Lithium Mar 26,Sao Paulo,D-628,Noah Park,67.50,67.55,0.05,31,At risk,13,1s ago
77277,Cocoa May 26,Chicago,D-844,Iris Chen,69.20,69.30,0.10,44,Open,14,2s ago
77278,Cotton Jul 26,Singapore,D-1071,Sofia Bell,70.90,71.05,0.15,57,Filled,15,3s ago
77279,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,72.60,72.80,0.20,70,Monitoring,16,4s ago
77280,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,74.30,74.55,0.25,83,At risk,17,5s ago
77281,Copper Jan 26,Chicago,D-251,Maya Chen,76.00,76.05,0.05,8,Open,18,1s ago
77282,Nickel Mar 26,Singapore,D-628,Noah Park,77.70,77.80,0.10,13,Filled,19,2s ago
77283,Aluminum May 26,Frankfurt,D-844,Iris Chen,79.40,79.55,0.15,26,Monitoring,20,3s ago
77284,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,81.10,81.30,0.20,39,At risk,21,4s ago
77285,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,82.80,83.05,0.25,52,Open,22,5s ago
77286,Cotton Nov 26,Singapore,D-2874,Luca Perez,84.50,84.55,0.05,65,Filled,23,1s ago
77287,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,86.20,86.30,0.10,78,Monitoring,24,2s ago
77288,Wheat Mar 26,Sao Paulo,D-628,Noah Park,87.90,88.05,0.15,91,At risk,25,3s ago
77289,Copper May 26,Chicago,D-844,Iris Chen,89.60,89.80,0.20,8,Open,26,4s ago
77290,Nickel Jul 26,Singapore,D-1071,Sofia Bell,91.30,91.55,0.25,21,Filled,27,5s ago
77291,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,61.00,61.05,0.05,34,Monitoring,28,1s ago
77292,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,62.70,62.80,0.10,47,At risk,29,2s ago
77293,Cocoa Jan 26,Chicago,D-251,Maya Chen,64.40,64.55,0.15,60,Open,12,3s ago
77294,Cotton Mar 26,Singapore,D-628,Noah Park,66.10,66.30,0.20,73,Filled,13,4s ago
77295,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,67.80,68.05,0.25,86,Monitoring,14,5s ago
77296,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,69.50,69.55,0.05,8,At risk,15,1s ago
77297,Copper Sep 26,Chicago,D-1563,Theo Ivanov,71.20,71.30,0.10,16,Open,16,2s ago
77298,Nickel Nov 26,Singapore,D-2874,Luca Perez,72.90,73.05,0.15,29,Filled,17,3s ago
77299,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,74.60,74.80,0.20,42,Monitoring,18,4s ago
77300,Lithium Mar 26,Sao Paulo,D-628,Noah Park,76.30,76.55,0.25,55,At risk,19,5s ago
77301,Cocoa May 26,Chicago,D-844,Iris Chen,78.00,78.05,0.05,68,Open,20,1s ago
77302,Cotton Jul 26,Singapore,D-1071,Sofia Bell,79.70,79.80,0.10,81,Filled,21,2s ago
77303,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,81.40,81.55,0.15,94,Monitoring,22,3s ago
77304,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,83.10,83.30,0.20,11,At risk,23,4s ago
77305,Copper Jan 26,Chicago,D-251,Maya Chen,84.80,85.05,0.25,24,Open,24,5s ago
77306,Nickel Mar 26,Singapore,D-628,Noah Park,86.50,86.55,0.05,37,Filled,25,1s ago
77307,Aluminum May 26,Frankfurt,D-844,Iris Chen,88.20,88.30,0.10,50,Monitoring,26,2s ago
77308,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,89.90,90.05,0.15,63,At risk,27,3s ago
77309,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,91.60,91.80,0.20,76,Open,28,4s ago
77310,Cotton Nov 26,Singapore,D-2874,Luca Perez,61.30,61.55,0.25,89,Filled,29,5s ago
77311,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,63.00,63.05,0.05,8,Monitoring,12,1s ago
77312,Wheat Mar 26,Sao Paulo,D-628,Noah Park,64.70,64.80,0.10,19,At risk,13,2s ago
77313,Copper May 26,Chicago,D-844,Iris Chen,66.40,66.55,0.15,32,Open,14,3s ago
77314,Nickel Jul 26,Singapore,D-1071,Sofia Bell,68.10,68.30,0.20,45,Filled,15,4s ago
77315,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,69.80,70.05,0.25,58,Monitoring,16,5s ago
77316,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,71.50,71.55,0.05,71,At risk,17,1s ago
77317,Cocoa Jan 26,Chicago,D-251,Maya Chen,73.20,73.30,0.10,84,Open,18,2s ago
77318,Cotton Mar 26,Singapore,D-628,Noah Park,74.90,75.05,0.15,8,Filled,19,3s ago
77319,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,76.60,76.80,0.20,14,Monitoring,20,4s ago
77320,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,78.30,78.55,0.25,27,At risk,21,5s ago
77321,Copper Sep 26,Chicago,D-1563,Theo Ivanov,80.00,80.05,0.05,40,Open,22,1s ago
77322,Nickel Nov 26,Singapore,D-2874,Luca Perez,81.70,81.80,0.10,53,Filled,23,2s ago
77323,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,83.40,83.55,0.15,66,Monitoring,24,3s ago
77324,Lithium Mar 26,Sao Paulo,D-628,Noah Park,85.10,85.30,0.20,79,At risk,25,4s ago
77325,Cocoa May 26,Chicago,D-844,Iris Chen,86.80,87.05,0.25,92,Open,26,5s ago
77326,Cotton Jul 26,Singapore,D-1071,Sofia Bell,88.50,88.55,0.05,9,Filled,27,1s ago
